================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  2m      Ides Vanguard [WNP-362]          Out Refined Metals       506   210.13     106,326  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  3m      Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,733    51.35      88,990  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  6m      Tern Vanguard [JKM-244]          Out Antimatter Cells     100   138.69      13,869  —                                       [?] unknown
  7m      Tern Sentinel [BFM-940]          Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  9m      Vulture Vanguard [AOL-503]       Out Energy Cells       1,356    22.00      29,832  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  10m     Mercury Sentinel [VWB-834]       Out Energy Cells       1,495    19.70      29,452  ANT Plasma Conductor Factory II (SVJ-6  [v] proven (courier)
  11m     Magpie Sentinel [LSS-543]        Out Energy Cells         758    19.52      14,796  PAR Turret Component Factory I (ANG-17  [v] proven (courier)
  15m     Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  19m     Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   146.91      64,347  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  21m     Osprey Vanguard [GBS-045]        Out Refined Metals       173   209.18      36,188  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  24m     Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   142.20      30,573  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  24m     Vulture Sentinel [XIE-831]       Out Energy Cells      13,518    16.43     222,101  SCA High Tech Factory III (DEP-631)     [~] infer (delivery)
  25m     Mercury Sentinel [VWB-834]       Out Energy Cells       2,600    16.58      43,108  TEL Nostrop Oil Factory I (AWA-247)     [v] proven (courier)
  26m     Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.94      48,902  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  33m     Magpie Sentinel [LSS-543]        Out Energy Cells         360    16.69       6,008  TEL Turret Component Factory I (FVH-52  [v] proven (courier)
  36m     Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   140.81      61,675  ARG Claytronics Factory I (ORH-289)     [~] infer (delivery)
  37m     Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             460    50.80      23,368  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  39m     Mercury Sentinel [VWB-834]       Out Energy Cells       8,536    14.90     127,186  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  41m     Magpie Sentinel [LSS-543]        Out Energy Cells       1,200    17.62      21,144  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
  41m     Demeter Vanguard [TKZ-886]       Out Energy Cells         880    16.80      14,784  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  42m     Ides Vanguard [WNP-362]          Out Energy Cells         967    17.82      17,232  ARG Microchip Factory I (UTF-166)       [v] proven (courier)
  45m     Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   145.59      19,655  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  52m     Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    51.04      65,331  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  52m     Tern Sentinel [BFM-940]          Out Energy Cells       1,768    18.35      32,443  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  53m     Magpie Sentinel [LSS-543]        Out Refined Metals       276   210.91      58,211  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  53m     Vulture Vanguard [AOL-503]       Out Energy Cells       1,220    19.62      23,936  PAR Microchip Factory I (SNF-983)       [v] proven (courier)
  54m     Mercury Sentinel [VWB-834]       Out Energy Cells         540    19.80      10,692  PAR Weapon Component Factory II (UYS-8  [v] proven (courier)
  55m     Tern Sentinel [XNX-957]          Out Antimatter Cells     755   140.18     105,836  —                                       [?] unknown
